Epoch,Iteration,Loss
0,1,0.7105682492256165
0,2,3.3665382862091064
0,3,0.7011861205101013
0,4,1.51027512550354
0,5,0.6048600673675537
0,6,0.7924338579177856
0,7,0.7120920419692993
0,8,0.7309021353721619
0,9,0.698697566986084
0,10,0.6969012022018433
0,11,0.7056039571762085
0,12,0.8372862935066223
0,13,0.731074333190918
0,14,0.7919273972511292
0,15,0.7670468091964722
0,16,0.8508093357086182
0,17,0.6929030418395996
0,18,0.706645667552948
0,19,1.03391695022583
0,20,0.8987339735031128
0,21,0.6901639699935913
0,22,0.6815541982650757
0,23,0.7011368274688721
0,24,0.7585768699645996
0,25,1.001441240310669
0,26,0.7452492713928223
0,27,0.716086208820343
0,28,0.852370023727417
0,29,0.6594658493995667
0,30,0.9289811849594116
0,31,1.0177463293075562
0,32,1.042834997177124
0,33,0.6122093796730042
0,34,0.8633430600166321
0,35,0.7396663427352905
0,36,0.6110556125640869
0,37,0.7909189462661743
0,38,0.9340449571609497
0,39,0.9619354009628296
0,40,0.7756079435348511
0,41,0.6571545004844666
0,42,0.7166579365730286
0,43,0.8219248056411743
0,44,0.7383721470832825
0,45,0.7710727453231812
0,46,0.7927229404449463
0,47,0.7473689317703247
0,48,0.7724794149398804
0,49,0.6749823093414307
0,50,0.6551042795181274
0,51,0.680042028427124
0,52,0.7117611169815063
0,53,0.534738302230835
0,54,0.8047820329666138
0,55,0.8605743646621704
0,56,0.7673995494842529
0,57,0.7394269108772278
0,58,0.7011487483978271
0,59,0.7394922375679016
0,60,0.7130955457687378
0,61,0.7030571699142456
0,62,0.673782229423523
0,63,0.7427473068237305
0,64,0.6397938132286072
0,65,0.6744446754455566
0,66,0.6870602369308472
0,67,0.7610092759132385
0,68,0.6971200108528137
0,69,0.70685875415802
0,70,0.6770502328872681
0,71,0.6827491521835327
0,72,0.6933870315551758
0,73,0.667118489742279
0,74,0.7031976580619812
0,75,0.7006760835647583
0,76,0.6928191184997559
0,77,0.7260935306549072
0,78,0.7058006525039673
0,79,0.7087299823760986
0,80,0.6834253072738647
0,81,0.6953415870666504
0,82,0.6420314311981201
0,83,0.6679389476776123
0,84,0.7515349388122559
0,85,0.8890869617462158
0,86,0.6426343321800232
0,87,0.7098193168640137
0,88,0.674344539642334
0,89,0.6881899833679199
0,90,0.7325178980827332
0,91,0.6953104734420776
0,92,0.6841456890106201
0,93,0.7070712447166443
0,94,0.6922223567962646
0,95,0.7166622281074524
0,96,0.7257257699966431
0,97,0.6798020601272583
0,98,0.723301351070404
0,99,0.714983344078064
0,100,0.6484416723251343
0,101,0.8051482439041138
0,102,0.6725097894668579
0,103,0.6007751226425171
0,104,0.6940227746963501
0,105,0.6528855562210083
0,106,0.696934700012207
0,107,0.6881124377250671
0,108,0.7046827077865601
0,109,0.6553208827972412
0,110,0.6915478706359863
0,111,0.6603436470031738
0,112,0.713761031627655
0,113,0.8241153955459595
0,114,0.722724974155426
0,115,0.7107238173484802
0,116,0.6740449070930481
0,117,0.6527506709098816
0,118,0.7206340432167053
0,119,0.7823915481567383
0,120,0.6350467205047607
0,121,0.7407054305076599
0,122,0.6419201493263245
0,123,0.728757917881012
0,124,0.7131398320198059
0,125,0.7232666015625
0,126,0.6814668774604797
0,127,0.6259446740150452
0,128,0.7612603902816772
0,129,0.7636535167694092
0,130,0.6680524349212646
0,131,0.6946423053741455
0,132,0.7483609318733215
0,133,0.7320114374160767
0,134,0.6521443724632263
0,135,0.6746832132339478
0,136,0.7024413347244263
0,137,0.6906158328056335
0,138,0.7069616913795471
0,139,0.7353196144104004
0,140,0.6854467391967773
0,141,0.6729516983032227
0,142,0.6683603525161743
0,143,0.6797292232513428
0,144,0.70546555519104
0,145,0.6818848848342896
0,146,0.6585350036621094
0,147,0.5952025651931763
0,148,0.6400967836380005
0,149,0.8312630653381348
0,150,0.6913893222808838
0,151,0.6672970056533813
0,152,0.7267005443572998
0,153,0.7188901305198669
0,154,0.6604642868041992
0,155,0.6920456886291504
0,156,0.6880017518997192
0,157,0.7810395956039429
0,158,0.6428123712539673
0,159,0.6854946613311768
0,160,0.6643840670585632
0,161,0.706871747970581
0,162,0.6740217804908752
0,163,0.7016811966896057
0,164,0.6748592853546143
0,165,0.7816616892814636
0,166,0.6837748885154724
0,167,0.7734144330024719
0,168,0.7247323989868164
0,169,0.652033269405365
0,170,0.6860378384590149
0,171,0.7057048678398132
0,172,0.7231267094612122
0,173,0.6609048247337341
0,174,0.7006367444992065
0,175,0.6911032199859619
0,176,0.6739653944969177
0,177,0.661990225315094
0,178,0.6874853372573853
0,179,0.6648859977722168
0,180,0.6949386596679688
0,181,0.7459238171577454
0,182,0.6558657884597778
0,183,0.7369961738586426
0,184,0.6951960325241089
0,185,0.7268795967102051
0,186,0.7002296447753906
0,187,0.7074058651924133
0,188,0.6852506995201111
0,189,0.6783058047294617
0,190,0.6744450330734253
0,191,0.6748961210250854
0,192,0.7654574513435364
0,193,0.5866049528121948
0,194,0.7309845685958862
0,195,0.7323952913284302
0,196,0.6592459678649902
0,197,0.6319311857223511
0,198,0.623400092124939
0,199,0.7786370515823364
0,200,0.6513820886611938
0,201,0.653536856174469
0,202,0.6944655179977417
0,203,0.6937774419784546
0,204,0.7837172746658325
0,205,0.6961748003959656
0,206,0.6379489898681641
0,207,0.7240952849388123
0,208,0.6995406150817871
0,209,0.67337566614151
0,210,0.6834561824798584
0,211,0.604931652545929
0,212,0.6821970343589783
0,213,0.6867678165435791
0,214,0.8882701992988586
0,215,0.8171656131744385
0,216,0.7105486392974854
0,217,0.7215627431869507
0,218,0.6643005013465881
0,219,0.7010375261306763
0,220,0.7586249113082886
0,221,0.643654465675354
0,222,0.6567879915237427
0,223,0.8026072978973389
0,224,0.6818454265594482
0,225,0.7784221172332764
0,226,0.618930459022522
0,227,0.6059491038322449
0,228,0.6768574714660645
0,229,0.7126590609550476
0,230,0.6269224882125854
0,231,0.82927405834198
0,232,0.704851508140564
0,233,0.7251818180084229
0,234,0.7121414542198181
0,235,0.6684644222259521
0,236,0.6957001686096191
0,237,0.6232612133026123
0,238,0.6245502233505249
0,239,0.6288653016090393
0,240,0.7500832080841064
0,241,0.7927615642547607
0,242,0.7430102229118347
0,243,0.7752454280853271
0,244,0.6816346049308777
0,245,0.7134963274002075
0,246,0.6752729415893555
0,247,0.6606034636497498
0,248,0.6894340515136719
0,249,0.6213181018829346
0,250,0.7336689829826355
0,251,0.7551251649856567
0,252,0.689883291721344
0,253,0.5745896100997925
0,254,0.7886271476745605
0,255,0.7881721258163452
0,256,0.7415329217910767
0,257,0.6728358864784241
0,258,0.6614254117012024
0,259,0.6555691957473755
0,260,0.6533889174461365
0,261,0.7043305039405823
0,262,0.6649307012557983
0,263,0.6894742250442505
0,264,0.6733605861663818
0,265,0.6858395338058472
0,266,0.6597784757614136
0,267,0.648021936416626
0,268,0.7122381329536438
0,269,0.6551241874694824
0,270,0.6876517534255981
0,271,0.7009024024009705
0,272,0.7709881067276001
0,273,0.6999915838241577
0,274,0.7555432319641113
0,275,0.6714567542076111
0,276,0.6882193088531494
0,277,0.6906851530075073
0,278,0.6813558340072632
0,279,0.638450026512146
0,280,0.682678759098053
0,281,0.7002144455909729
0,282,0.6989624500274658
0,283,0.6891250610351562
0,284,0.6420066356658936
0,285,0.6862089037895203
0,286,0.7084424495697021
0,287,0.7276251316070557
0,288,0.7397499084472656
0,289,0.6477019786834717
0,290,0.6771019697189331
0,291,0.7122025489807129
0,292,0.7455886006355286
0,293,0.6406154632568359
0,294,0.697772741317749
0,295,0.6822948455810547
0,296,0.7577449083328247
0,297,0.6806915998458862
0,298,0.670928955078125
0,299,0.7188385725021362
0,300,0.6905378103256226
0,301,0.7251870632171631
0,302,0.7313326597213745
0,303,0.689907431602478
0,304,0.6569174528121948
0,305,0.700463593006134
0,306,0.7254966497421265
