Iteration,Loss
1,0.23407809436321259
2,0.38369134068489075
3,0.39822179079055786
4,0.29454559087753296
5,0.1637219339609146
6,0.15819759666919708
7,0.12163373082876205
8,0.1457734853029251
9,0.04945779964327812
10,0.07636339962482452
11,0.09227781742811203
12,0.3517998158931732
13,0.08075229823589325
14,0.10668746381998062
15,0.05952364206314087
16,0.10153781622648239
17,0.09689352661371231
18,0.11914658546447754
19,0.08973249793052673
20,0.10923844575881958
21,0.09997846186161041
22,0.11696584522724152
23,0.10352380573749542
24,0.1073264628648758
25,0.10545843094587326
26,0.08419185876846313
27,0.098891980946064
28,0.09107406437397003
29,0.08032072335481644
30,0.09831651300191879
31,0.09330891817808151
32,0.09616002440452576
33,0.09429677575826645
34,0.08932488411664963
35,0.09323066473007202
36,0.1073833703994751
37,0.0947975441813469
38,0.08812861144542694
39,0.09911581128835678
40,0.08885657042264938
41,0.09240943938493729
42,0.09467345476150513
43,0.09246064722537994
44,0.09086550772190094
45,0.09870174527168274
46,0.08906961232423782
47,0.09079021215438843
48,0.10188306868076324
49,0.10201920568943024
50,0.09695053100585938
51,0.09458194673061371
52,0.09125598520040512
53,0.08706969767808914
54,0.11353462934494019
55,0.07232620567083359
56,0.08716744929552078
57,0.09225135296583176
58,0.06917841732501984
59,0.10779350250959396
60,0.11382770538330078
61,0.10075332969427109
62,0.09785991907119751
63,0.11357399076223373
64,0.08309493958950043
65,0.08308544009923935
66,0.08469922095537186
67,0.11135639995336533
68,0.09133530408143997
69,0.10709383338689804
70,0.07907768338918686
71,0.10124575346708298
72,0.11024311929941177
73,0.06835327297449112
74,0.09917905181646347
75,0.10267855226993561
76,0.03185025230050087
77,0.14789113402366638
78,0.03712087869644165
79,0.030657047405838966
80,0.1072540283203125
81,0.1661982536315918
82,0.014933600090444088
83,0.13283491134643555
84,0.14808839559555054
85,0.09105642139911652
86,0.11769074201583862
87,0.14688631892204285
88,0.07951182126998901
89,0.041341107338666916
90,0.1113886758685112
91,0.10264363139867783
92,0.10980994999408722
93,0.09112906455993652
94,0.07931476086378098
95,0.11111344397068024
96,0.07040544599294662
97,0.07436886429786682
98,0.10621052235364914
99,0.09426238387823105
100,0.07125227898359299
101,0.12641464173793793
102,0.07032269984483719
103,0.05874413996934891
104,0.0683453232049942
105,0.04256598278880119
106,0.07118409126996994
107,0.0832919031381607
108,0.09975866228342056
109,0.06991096585988998
110,0.12291925400495529
111,0.10719192028045654
112,0.09715612232685089
113,0.020219875499606133
114,0.03942142054438591
115,0.05171419307589531
116,0.09556175023317337
117,0.10278104990720749
118,0.10830286890268326
119,0.03649565204977989
120,0.032354436814785004
121,0.1044013500213623
122,0.023644117638468742
123,0.13757282495498657
124,0.08823110163211823
125,0.05683860182762146
126,0.11114702373743057
127,0.09796958416700363
128,0.09078757464885712
129,0.025255439803004265
130,0.0959465354681015
131,0.09972739964723587
132,0.08748085051774979
133,0.16055156290531158
134,0.09493903070688248
135,0.09978235512971878
136,0.09663758426904678
137,0.0942792296409607
138,0.09501665085554123
139,0.17441882193088531
140,0.08086075633764267
141,0.09519367665052414
142,0.09383512288331985
143,0.07848919183015823
144,0.09521558880805969
145,0.09214644879102707
146,0.09104951471090317
147,0.08997213840484619
148,0.09512197226285934
149,0.08646393567323685
150,0.0858738124370575
151,0.07778909057378769
152,0.09541701525449753
153,0.04941445216536522
154,0.10421693325042725
155,0.1032915860414505
156,0.09145061671733856
157,0.03027546964585781
158,0.08669395744800568
159,0.09661408513784409
160,0.10549930483102798
161,0.08687328547239304
162,0.109291672706604
163,0.09007429331541061
164,0.08529454469680786
165,0.08538632839918137
166,0.08498409390449524
167,0.0834503248333931
168,0.08427521586418152
169,0.08711256831884384
170,0.12061383575201035
171,0.08047626912593842
172,0.09282559901475906
173,0.07678882032632828
174,0.16007231175899506
175,0.011091756634414196
176,0.11130988597869873
177,0.06850782781839371
178,0.03943886607885361
179,0.09074073284864426
180,0.10052504390478134
181,0.14503979682922363
182,0.09944897145032883
183,0.09937887638807297
184,0.061249591410160065
185,0.05270124599337578
186,0.09805115312337875
187,0.10268980264663696
188,0.0829012542963028
189,0.11241984367370605
190,0.08043157309293747
191,0.07825825363397598
192,0.0877547487616539
193,0.10016240179538727
194,0.09970938414335251
195,0.09795140475034714
196,0.07080521434545517
197,0.09722548723220825
198,0.10481927543878555
199,0.11102890968322754
200,0.06899315863847733
201,0.022322218865156174
202,0.05508146435022354
203,0.09799104183912277
204,0.09559612721204758
205,0.10273396968841553
206,0.04458180442452431
207,0.024305103346705437
208,0.09059073030948639
209,0.02122887782752514
210,0.01919710263609886
211,0.017040980979800224
212,0.011023619212210178
213,0.14431650936603546
214,0.08230717480182648
215,0.08248031884431839
216,0.08300310373306274
217,0.08880182355642319
218,0.09761420637369156
219,0.09464164823293686
220,0.12072892487049103
221,0.08841276168823242
222,0.09194128960371017
223,0.09440913051366806
224,0.07582934945821762
225,0.11520647257566452
226,0.09417318552732468
227,0.09907553344964981
228,0.09860564768314362
229,0.07433068752288818
230,0.004103573504835367
231,0.07550124824047089
232,0.01884378306567669
233,0.09408595412969589
234,0.09296803921461105
235,0.003244866384193301
236,0.08562102168798447
237,0.10912742465734482
238,0.0911201760172844
239,0.08921884000301361
240,0.10417815297842026
241,0.09700587391853333
242,0.17659081518650055
243,0.08311629295349121
244,0.08292581886053085
245,0.09630390256643295
246,0.09396969527006149
247,0.006244876887649298
248,0.09478873014450073
249,0.08361172676086426
250,0.008527172729372978
251,0.08165322989225388
252,0.009071266278624535
253,0.09607861191034317
254,0.09510819613933563
255,0.11806666851043701
256,0.07745320349931717
257,0.11418996006250381
258,0.09758730232715607
259,0.09534560889005661
260,0.08855395764112473
261,0.01387796737253666
262,0.08949904888868332
263,0.09149119257926941
264,0.09350432455539703
265,0.09833583980798721
266,0.09540192037820816
267,0.1242709681391716
268,0.09630917757749557
269,0.08302802592515945
270,0.0043849460780620575
271,0.0036441143602132797
272,0.0978924110531807
273,0.09682334959506989
274,0.08707351237535477
275,0.09121062606573105
276,0.09137756377458572
277,0.0006327569717541337
278,0.07961093634366989
279,0.08416058868169785
280,0.0898348018527031
281,0.09028215706348419
282,0.0905078873038292
283,0.08917597681283951
284,0.013409909792244434
285,0.0811808854341507
286,0.08529144525527954
287,0.09521415084600449
288,0.07897558063268661
289,0.10040545463562012
290,0.08396773040294647
291,0.0033301194198429585
292,0.09050285071134567
293,0.08368238061666489
294,0.11021708697080612
295,0.07266592234373093
296,0.10807404667139053
297,0.10683923959732056
298,0.07740428298711777
299,0.08802717924118042
300,0.09646157175302505
301,0.10484142601490021
302,0.10227552801370621
303,0.09463856369256973
304,0.00737309455871582
305,0.0872836634516716
306,0.09983771294355392
307,0.08774364739656448
308,0.09691956639289856
309,0.10509604215621948
310,0.02005988359451294
311,0.015357195399701595
312,0.08825381845235825
313,0.09378894418478012
314,0.08939798176288605
315,0.07950012385845184
316,0.0194935854524374
317,0.0920441672205925
318,0.10131701081991196
319,0.09997295588254929
320,0.08790168166160583
321,0.09833922982215881
322,0.09489043802022934
323,0.08558184653520584
324,0.08711173385381699
325,0.0872233659029007
326,0.0895305797457695
327,0.00392307760193944
328,0.0930238887667656
329,0.09398525208234787
330,0.09053060412406921
331,0.09048613160848618
332,0.0880429744720459
333,0.09239459037780762
334,0.09846075624227524
335,0.08277084678411484
336,0.08935888856649399
337,0.09209393709897995
338,0.09166275709867477
339,0.0910978689789772
340,0.08606992661952972
341,0.0912199541926384
342,0.08731652796268463
343,0.08708974719047546
344,0.09880786389112473
345,0.08641321957111359
346,0.007450747769325972
347,0.08605042099952698
348,0.08784231543540955
349,0.0956609696149826
350,0.08838804066181183
351,0.08314434438943863
352,0.006424148567020893
353,0.09105416387319565
354,0.08638482540845871
355,0.08259045332670212
356,0.004402081482112408
357,0.09134923666715622
358,0.0013764513423666358
359,0.03147708997130394
360,0.004898004699498415
361,0.11595962196588516
362,0.09104684740304947
363,0.08020970970392227
364,0.08137370645999908
365,0.07931270450353622
366,0.09016295522451401
367,0.03376754745841026
368,0.10682262480258942
369,0.08585755527019501
370,0.08029613643884659
371,0.14369048178195953
372,0.08997305482625961
373,0.07887870818376541
374,0.07781323045492172
375,0.07730060070753098
376,0.08956725895404816
377,0.11161600798368454
378,0.08699396252632141
379,0.08903973549604416
380,0.0723244696855545
381,0.07139118015766144
382,0.08700435608625412
383,0.07070206850767136
384,0.08193699270486832
385,0.08519922196865082
386,0.08355889469385147
387,0.09892850369215012
388,0.08389963209629059
389,0.10709605365991592
390,0.08381935209035873
391,0.07987090945243835
392,0.07885514199733734
393,0.10922994464635849
394,0.09955725818872452
395,0.05849635601043701
396,0.10471462458372116
397,0.10641982406377792
398,0.01027608197182417
399,0.04174776375293732
400,0.026794327422976494
401,0.07191599905490875
402,0.09945923835039139
403,0.08171652257442474
404,0.1004277691245079
405,0.0935797467827797
406,0.103412926197052
407,0.020792430266737938
408,0.0956123024225235
409,0.020196009427309036
410,0.09000182151794434
411,0.07340483367443085
412,0.09388980269432068
413,0.08553207665681839
414,0.08518996089696884
415,0.08400177210569382
416,0.08991413563489914
417,0.05584649369120598
418,0.08790593594312668
419,0.08825181424617767
420,0.09123091399669647
421,0.08600162714719772
422,0.10108285397291183
423,0.09957730025053024
424,0.09037042409181595
425,0.08936665207147598
426,0.09981337189674377
427,0.09618791192770004
428,0.0027400481048971415
429,0.08359345048666
430,0.0023766127415001392
431,0.14828430116176605
432,0.09926111251115799
433,0.09398902952671051
434,0.09599658101797104
435,0.07624790817499161
436,0.00414104713127017
437,0.08764803409576416
438,0.08710386604070663
439,0.0877387747168541
440,0.09245661646127701
441,0.005663988646119833
442,0.07251514494419098
443,0.08815016597509384
444,0.004620676394551992
445,0.17793512344360352
446,0.09213283658027649
447,0.1682289093732834
448,0.007486348506063223
449,0.09454473108053207
450,0.09412726014852524
451,0.004209393169730902
452,0.07389739900827408
453,0.15507684648036957
454,0.010323495604097843
455,0.00410735746845603
456,0.005894604604691267
457,0.08814413100481033
458,0.08695365488529205
459,0.01214156486093998
460,0.09584147483110428
461,0.07827746868133545
462,0.08731276541948318
463,0.011635911650955677
464,0.09736117720603943
465,0.01041207741945982
466,0.1528320163488388
467,0.0036170065868645906
468,0.09377719461917877
469,0.10087192058563232
470,0.08489056676626205
471,0.046602435410022736
472,0.07874082773923874
473,0.08324088156223297
474,0.015058222226798534
475,0.09378265589475632
476,0.011462068185210228
477,0.08562703430652618
478,0.11553342640399933
479,0.0922229215502739
480,0.0974823459982872
481,0.09040804952383041
482,0.09156087785959244
483,0.07926741987466812
484,0.09071110188961029
485,0.005415481049567461
486,0.08809427171945572
487,0.09667003154754639
488,0.07955320924520493
489,0.10391946136951447
490,0.020914893597364426
491,0.11248572170734406
492,0.09142569452524185
493,0.005280026700347662
494,0.08294352889060974
495,0.13307414948940277
496,0.08853527158498764
497,0.08921075612306595
498,0.0890638455748558
499,0.09728886932134628
500,0.09066955745220184
501,0.08232297748327255
502,0.08215019106864929
503,0.09103088825941086
504,0.11877279728651047
505,0.08742045611143112
506,0.08958480507135391
507,0.090980663895607
508,0.008921558037400246
509,0.009809901006519794
510,0.081782765686512
511,0.006105757784098387
512,0.08945762366056442
513,0.08213735371828079
514,0.08119107037782669
515,0.09522749483585358
516,0.0979902520775795
517,0.07521670311689377
518,0.09091188758611679
519,0.08743972331285477
520,0.025293484330177307
521,0.09275698661804199
522,0.08476246148347855
523,0.08361556380987167
524,0.06553458422422409
525,0.021361960098147392
526,0.09329675883054733
527,0.018682638183236122
528,0.021539118140935898
529,0.09419094771146774
530,0.09067180007696152
531,0.10186826437711716
532,0.10939593613147736
533,0.09218954294919968
534,0.017299000173807144
535,0.10577373951673508
536,0.014294425025582314
537,0.10482718050479889
538,0.0695396289229393
539,0.008066847920417786
540,0.0854179710149765
541,0.10012371838092804
542,0.1029668003320694
543,0.011757231317460537
544,0.07285788655281067
545,0.07296781986951828
546,0.08112744241952896
547,0.0972035601735115
548,0.09706161171197891
549,0.0990331694483757
550,0.09458708018064499
551,0.08925596624612808
552,0.09753996878862381
553,0.07712668925523758
554,0.0031679649837315083
555,0.07444772869348526
556,0.09324948489665985
557,0.04048456996679306
558,0.08772288262844086
559,0.09022095054388046
560,0.08396273851394653
561,0.11737511307001114
562,0.08499638736248016
563,0.18751057982444763
564,0.08279900252819061
565,0.09993775188922882
566,0.09549126774072647
567,0.09278394281864166
568,0.09344121068716049
569,0.07814127206802368
570,0.09839629381895065
571,0.07612825930118561
572,0.09419403970241547
573,0.013108479790389538
574,0.0042815906926989555
575,0.10352938622236252
576,0.1439400464296341
577,0.09458135813474655
578,0.01354921329766512
579,0.09723188728094101
580,0.09510597586631775
581,0.09507913142442703
582,0.08506610244512558
583,0.012048478238284588
584,0.09366469830274582
585,0.07442112267017365
586,0.09047169983386993
587,0.09233824163675308
588,0.012549799866974354
589,0.16480986773967743
590,0.08919179439544678
591,0.08812490105628967
592,0.14496664702892303
593,0.0983133390545845
594,0.016178354620933533
595,0.09352805465459824
596,0.08527558296918869
597,0.011837533675134182
598,0.09678025543689728
599,0.14511047303676605
600,0.09532634168863297
601,0.08115454763174057
602,0.08002497255802155
603,0.09526115655899048
604,0.01629040203988552
605,0.00465703709051013
606,0.08665464073419571
607,0.08799269795417786
608,0.08733963221311569
609,0.09533554315567017
610,0.01957397721707821
611,0.10197974741458893
612,0.09357113391160965
613,0.01686953939497471
614,0.09993162006139755
615,0.09638919681310654
616,0.09456856548786163
617,0.08235612511634827
618,0.08809284120798111
619,0.009466349147260189
620,0.09330001473426819
621,0.09336740523576736
622,0.07959210127592087
623,0.1489153355360031
624,0.08783861994743347
625,0.08450279384851456
626,0.08639577776193619
627,0.08877186477184296
628,0.09343239665031433
629,0.09399965405464172
630,0.0993817150592804
631,0.09036030620336533
632,0.08108601719141006
633,0.08279649913311005
634,0.02486589550971985
635,0.08114554733037949
636,0.08098404854536057
637,0.0805167406797409
638,0.007209212519228458
639,0.006540561560541391
640,0.020131554454565048
641,0.06965851038694382
